"condition","Rationale","Title","ID","Remediation","Result","Policy ID","Description","command","References","Compliance","Rules"
"all","If the /etc/issue.net file does not have the correct ownership it could be modified by unauthorized users with incorrect or misleading information.","Ensure permissions on /etc/issue.net are configured.",28542,"Run the following commands to set permissions on /etc/issue.net : # chown root:root $(readlink -e /etc/issue.net) # chmod u-x,go-wx $(readlink -e /etc/issue.net)","passed","cis_ubuntu22-04","The contents of the /etc/issue.net file are displayed to users prior to login for remote connections from configured services.","stat /etc/issue.net","-","[{""key"":""cis"",""value"":""1.7.6""},{""key"":""cis_csc_v7"",""value"":""14.6""},{""key"":""cis_csc_v8"",""value"":""3.3""},{""key"":""cmmc_v2.0"",""value"":""AC.L1-3.1.1,AC.L1-3.1.2,AC.L2-3.1.5,AC.L2-3.1.3,MP.L2-3.8.2""},{""key"":""hipaa"",""value"":""164.308(a)(3)(i),164.308(a)(3)(ii)(A),164.312(a)(1)""},{""key"":""mitre_mitigations"",""value"":""M1022""},{""key"":""mitre_tactics"",""value"":""TA0005""},{""key"":""mitre_techniques"",""value"":""T1222,T1222.002""},{""key"":""nist_sp_800-53"",""value"":""AC-5,AC-6""},{""key"":""pci_dss_v3.2.1"",""value"":""7.1,7.1.1,7.1.2,7.1.3""},{""key"":""pci_dss_v4.0"",""value"":""1.3.1,7.1""},{""key"":""soc_2"",""value"":""CC5.2,CC6.1""}]","[{""type"":""command"",""rule"":""c:stat /etc/issue.net -> r:Access:\\s*\\(0644/-rw-r--r--\\)\\s*Uid:\\s*\\(\\s*0/\\s*root\\)\\s*\\t*Gid:\\s*\\(\\s*0/\\s*root\\)""}]"
"all","If a Graphical User Interface (GUI) is not required, it should be removed to reduce the attack surface of the system.","Ensure GNOME Display Manager is removed.",28543,"Run the following command to uninstall gdm3: # apt purge gdm3.","passed","cis_ubuntu22-04","The GNOME Display Manager (GDM) is a program that manages graphical display servers and handles graphical user logins.","dpkg-query -W -f='${binary:Package}	${Status}	${db:Status-Status}\n' gdm3","-","[{""key"":""cis"",""value"":""1.8.1""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_tactics"",""value"":""TA0002""},{""key"":""mitre_techniques"",""value"":""T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\\n' gdm3 -> r:gdm\\s+unknown\\s+ok\\s+not-installed|no\\s+packages\\s+found\\s+matching\\s+gdm3""}]"
"any","XDMCP is inherently insecure. XDMCP is not a ciphered protocol. This may allow an attacker to capture keystrokes entered by a user XDMCP is vulnerable to man-in-the-middle attacks. This may allow an attacker to steal the credentials of legitimate users by impersonating the XDMCP server.","Ensure XDCMP is not enabled.",28544,"Edit the file /etc/gdm3/custom.conf and remove the line: Enable=true Default Value: false (This is denoted by no Enabled= entry in the file /etc/gdm3/custom.conf in the [xdmcp] section.","passed","cis_ubuntu22-04","X Display Manager Control Protocol (XDMCP) is designed to provide authenticated access to display management services for remote displays.","-","-","[{""key"":""cis"",""value"":""1.8.10""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1050""},{""key"":""mitre_tactics"",""value"":""TA0002""},{""key"":""mitre_techniques"",""value"":""T1040,T1056,T1056.001,T1557""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""numeric"",""rule"":""not f:/etc/gdm3""},{""type"":""numeric"",""rule"":""not f:/etc/gdm3/custom.conf -> r:^\\s*Enable\\s*=\\s*true""}]"
"any","The chronyd service should run with only the required privileges.","Ensure chrony is running as user _chrony.",28545,"Add or edit the user line to /etc/chrony/chrony.conf or a file ending in .conf in /etc/chrony/conf.d/: user _chrony OR If another time synchronization service is in use on the system, run the following command to remove chrony from the system: # apt purge chrony","passed","cis_ubuntu22-04","The chrony package is installed with a dedicated user account _chrony. This account is granted the access required by the chronyd service.","ps -ef,systemctl is-enabled systemd-timesyncd.service","-","[{""key"":""cis"",""value"":""2.1.2.2""},{""key"":""cis_csc_v7"",""value"":""6.1""},{""key"":""cis_csc_v8"",""value"":""8.4""},{""key"":""cmmc_v2.0"",""value"":""AU.L2-3.3.7""},{""key"":""nist_sp_800-53"",""value"":""AU-7""},{""key"":""pci_dss_v3.2.1"",""value"":""10.4""},{""key"":""pci_dss_v4.0"",""value"":""10.6,10.6.1,10.6.2,10.6.3""},{""key"":""soc_2"",""value"":""CC4.1,CC5.2""}]","[{""type"":""command"",""rule"":""c:ps -ef -> r:_chrony\\.+chronyd""},{""type"":""command"",""rule"":""c:systemctl is-enabled ntp.service -> r:enabled""},{""type"":""command"",""rule"":""c:systemctl is-enabled systemd-timesyncd.service -> r:enabled""}]"
"all","chrony needs to be enabled and running in order to synchronize the system to a timeserver. Time synchronization is important to support time sensitive security mechanisms and to ensure log files have consistent time records across the enterprise to aid in forensic investigations.","Ensure chrony is enabled and running.",28546,"IF chrony is in use on the system, run the following commands: Run the following command to unmask chrony.service: # systemctl unmask chrony.service Run the following command to enable and start chrony.service: # systemctl --now enable chrony.service OR If another time synchronization service is in use on the system, run the following command to remove chrony: # apt purge chrony.","failed","cis_ubuntu22-04","chrony is a daemon for synchronizing the system clock across the network.","ps -ef","-","[{""key"":""cis"",""value"":""2.1.2.3""},{""key"":""cis_csc_v7"",""value"":""6.1""},{""key"":""cis_csc_v8"",""value"":""8.4""},{""key"":""cmmc_v2.0"",""value"":""AU.L2-3.3.7""},{""key"":""nist_sp_800-53"",""value"":""AU-7""},{""key"":""pci_dss_v3.2.1"",""value"":""10.4""},{""key"":""pci_dss_v4.0"",""value"":""10.6,10.6.1,10.6.2,10.6.3""},{""key"":""soc_2"",""value"":""CC4.1,CC5.2""}]","[{""type"":""command"",""rule"":""c:ps -ef -> r:chronyd""},{""type"":""command"",""rule"":""c:systemctl is-active chrony.service -> r:active""},{""type"":""command"",""rule"":""c:systemctl is-enabled chrony.service -> r:enabled""}]"
"all","systemd-timesyncd needs to be enabled and running in order to synchronize the system to a timeserver. Time synchronization is important to support time sensitive security mechanisms and to ensure log files have consistent time records across the enterprise to aid in forensic investigations.","Ensure systemd-timesyncd is enabled and running.",28547,"IF systemd-timesyncd is in use on the system, run the following commands: Run the following command to unmask systemd-timesyncd.service: # systemctl unmask systemd-timesyncd.service Run the following command to enable and start systemd-timesyncd.service: # systemctl --now enable systemd-timesyncd.service OR If another time synchronization service is in use on the system, run the following command to stop and mask systemd-timesyncd: # systemctl --now mask systemd-timesyncd.service","passed","cis_ubuntu22-04","systemd-timesyncd is a daemon that has been added for synchronizing the system clock across the network.","systemctl is-enabled systemd-timesyncd.service,systemctl is-active systemd-timesyncd.service","-","[{""key"":""cis"",""value"":""2.1.3.2""},{""key"":""cis_csc_v7"",""value"":""6.1""},{""key"":""cis_csc_v8"",""value"":""8.4""},{""key"":""cmmc_v2.0"",""value"":""AU.L2-3.3.7""},{""key"":""nist_sp_800-53"",""value"":""AU-7""},{""key"":""pci_dss_v3.2.1"",""value"":""10.4""},{""key"":""pci_dss_v4.0"",""value"":""10.6,10.6.1,10.6.2,10.6.3""},{""key"":""soc_2"",""value"":""CC4.1,CC5.2""}]","[{""type"":""command"",""rule"":""c:systemctl is-active systemd-timesyncd.service -> r:active""},{""type"":""command"",""rule"":""c:systemctl is-enabled systemd-timesyncd.service -> r:enabled""}]"
"all","If ntp is in use on the system, proper configuration is vital to ensuring time synchronization is accurate.","Ensure ntp access control is configured.",28548,"Add or edit restrict lines in /etc/ntp.conf to match the following: restrict -4 default kod nomodify notrap nopeer noquery restrict -6 default kod nomodify notrap nopeer noquery OR If another time synchronization service is in use on the system, run the following command to remove ntp from the system: # apt purge ntp Default Value: restrict -4 default kod notrap nomodify nopeer noquery limited restrict -6 default kod notrap nomodify nopeer noquery limited.","not applicable","cis_ubuntu22-04","ntp Access Control Commands: restrict address [mask mask] [ippeerlimit int] [flag ...] The address argument expressed in dotted-quad form is the address of a host or network. Alternatively, the address argument can be a valid host DNS name. The mask argument expressed in dotted-quad form defaults to 255.255.255.255, meaning that the address is treated as the address of an individual host. A default entry (address 0.0.0.0, mask 0.0.0.0) is always included and is always the first entry in the list. Note: the text string default, with no mask option, may be used to indicate the default entry. The ippeerlimit directive limits the number of peer requests for each IP to int, where a value of -1 means ""unlimited"", the current default. A value of 0 means ""none"". There would usually be at most 1 peering request per IP, but if the remote peering requests are behind a proxy there could well be more than 1 per IP. In the current implementation, flag always restricts access, i.e., an entry with no flags indicates that free access to the server is to be given. The flags are not orthogonal, in that more restrictive flags will often make less restrictive ones redundant. The flags can generally be classed into two categories, those which restrict time service and those which restrict informational queries and attempts to do run-time reconfiguration of the server. One or more of the following flags may be specified: kod - If this flag is set when an access violation occurs, a kiss-o'-death (KoD) packet is sent. KoD packets are rate limited to no more than one per second. If another KoD packet occurs within one second after the last one, the packet is dropped. limited - Deny service if the packet spacing violates the lower limits specified in the discard command. A history of clients is kept using the monitoring capability of ntpd. Thus, monitoring is always active as long as there is a restriction entry with the limited flag. lowpriotrap - Declare traps set by matching hosts to be low priority. The number of traps a server can maintain is limited (the current limit is 3). Traps are usually assigned on a first come, first served basis, with later trap requestors being denied service. This flag modifies the assignment algorithm by allowing low priority traps to be overridden by later requests for normal priority traps. noepeer - Deny ephemeral peer requests, even if they come from an authenticated source. Note that the ability to use a symmetric key for authentication may be restricted to one or more IPs or subnets via the third field of the ntp.keys file. This restriction is not enabled by default, to maintain backward compatibility. Expect noepeer to become the default in ntp-4.4. nomodify - Deny ntpq and ntpdc queries which attempt to modify the state of the server (i.e., run time reconfiguration). Queries which return information are permitted. noquery - Deny ntpq and ntpdc queries. Time service is not affected. nopeer - Deny unauthenticated packets which would result in mobilizing a new association. This includes broadcast and symmetric active packets when a configured association does not exist. It also includes pool associations, so if you want to use servers from a pool directive and also want to use nopeer by default, you'll want a restrict source ... line as well that does not include the nopeer directive. noserve - Deny all packets except ntpq and ntpdc queries. notrap - Decline to provide mode 6 control message trap service to matching hosts. The trap service is a subsystem of the ntpq control message protocol which is intended for use by remote event logging programs. notrust - Deny service unless the packet is cryptographically authenticated. ntpport - This is actually a match algorithm modifier, rather than a restriction flag. Its presence causes the restriction entry to be matched only if the source port in the packet is the standard NTP UDP port (123). Both ntpport and nonntpport may be specified. The ntpport is considered more specific and is sorted later in the list.","-","http://www.ntp.org/,ntp.conf(5),ntpd(8)","[{""key"":""cis"",""value"":""2.1.4.1""},{""key"":""cis_csc_v7"",""value"":""6.1""},{""key"":""cis_csc_v8"",""value"":""8.4""},{""key"":""cmmc_v2.0"",""value"":""AU.L2-3.3.7""},{""key"":""nist_sp_800-53"",""value"":""AU-7""},{""key"":""pci_dss_v3.2.1"",""value"":""10.4""},{""key"":""pci_dss_v4.0"",""value"":""10.6,10.6.1,10.6.2,10.6.3""},{""key"":""soc_2"",""value"":""CC4.1,CC5.2""}]","[{""type"":""file"",""rule"":""f:/etc/ntp.conf -> r:restrict -4 default|restrict default && r:kod && r:notrap && r:nomodify && r:nopeer && r:noquery""},{""type"":""file"",""rule"":""f:/etc/ntp.conf -> r:restrict -6 default && r:kod && r:notrap && r:nomodify && r:nopeer && r:noquery""}]"
"all","The ntpd daemon should run with only the required privilege.","Ensure ntp is running as user ntp.",28549,"Add or edit the following line in /etc/init.d/ntp: RUNASUSER=ntp Run the following command to restart ntp.servocee: # systemctl restart ntp.service OR If another time synchronization service is in use on the system, run the following command to remove ntp from the system: # apt purge ntp Default Value: user ntp.","failed","cis_ubuntu22-04","The ntp package is installed with a dedicated user account ntp. This account is granted the access required by the ntpd daemon Note: If chrony or systemd-timesyncd are used, ntp should be removed and this section skipped This recommendation only applies if ntp is in use on the system Only one time synchronization method should be in use on the system.","ps -ef","http://www.ntp.org/","[{""key"":""cis"",""value"":""2.1.4.3""},{""key"":""cis_csc_v7"",""value"":""6.1""},{""key"":""cis_csc_v8"",""value"":""8.4""},{""key"":""cmmc_v2.0"",""value"":""AU.L2-3.3.7""},{""key"":""nist_sp_800-53"",""value"":""AU-7""},{""key"":""pci_dss_v3.2.1"",""value"":""10.4""},{""key"":""pci_dss_v4.0"",""value"":""10.6,10.6.1,10.6.2,10.6.3""},{""key"":""soc_2"",""value"":""CC4.1,CC5.2""}]","[{""type"":""command"",""rule"":""c:ps -ef -> r:^ntp\\.+ntpd""},{""type"":""file"",""rule"":""f:/etc/init.d/ntp -> r:^\\s*\\t*RUNASUSER=ntp""}]"
"all","ntp needs to be enabled and running in order to synchronize the system to a timeserver. Time synchronization is important to support time sensitive security mechanisms and to ensure log files have consistent time records across the enterprise to aid in forensic investigations.","Ensure ntp is enabled and running.",28550,"IF ntp is in use on the system, run the following commands: Run the following command to unmask ntp.service: # systemctl unmask ntp.service Run the following command to enable and start ntp.service: # systemctl --now enable ntp.service OR If another time synchronization service is in use on the system, run the following command to remove ntp: # apt purge ntp.","failed","cis_ubuntu22-04","ntp is a daemon for synchronizing the system clock across the network.","systemctl is-enabled ntp.service","-","[{""key"":""cis"",""value"":""2.1.4.4""},{""key"":""cis_csc_v7"",""value"":""6.1""},{""key"":""cis_csc_v8"",""value"":""8.4""},{""key"":""cmmc_v2.0"",""value"":""AU.L2-3.3.7""},{""key"":""nist_sp_800-53"",""value"":""AU-7""},{""key"":""pci_dss_v3.2.1"",""value"":""10.4""},{""key"":""pci_dss_v4.0"",""value"":""10.6,10.6.1,10.6.2,10.6.3""},{""key"":""soc_2"",""value"":""CC4.1,CC5.2""}]","[{""type"":""command"",""rule"":""c:systemctl is-active ntp.service -> r:active""},{""type"":""command"",""rule"":""c:systemctl is-enabled ntp.service -> r:enabled""}]"
"all","Unless your organization specifically requires graphical login access via X Windows, remove it to reduce the potential attack surface.","Ensure X Window System is not installed.",28551,"Remove the X Windows System packages: apt purge xserver-xorg*","passed","cis_ubuntu22-04","The X Window System provides a Graphical User Interface (GUI) where users can have multiple windows in which to run programs and various add on. The X Windows system is typically used on workstations where users login, but not on servers where users typically do not login.","dpkg-query -W -f=""${binary:Package}\t${Status}\t${db:Status-Status}\n"" xserver-xorg*,dpkg-query -s xserver-xorg","-","[{""key"":""cis"",""value"":""2.2.1""},{""key"":""cis_csc_v7"",""value"":""2.6""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f=\""${binary:Package}\\t${Status}\\t${db:Status-Status}\\n\"" xserver-xorg* -> r:no packages found matching|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s xserver-xorg -> r:package 'xserver-xorg' is not installed""}]"
"any","Automatic discovery of network services is not normally required for system functionality. It is recommended to remove this package to reduce the potential attack surface.","Ensure Avahi Server is not installed.",28552,"Run the following commands to remove avahi-daemon: # systemctl stop avahi-daaemon.service # systemctl stop avahi-daemon.socket # apt purge avahi-daemon.","passed","cis_ubuntu22-04","Avahi is a free zeroconf implementation, including a system for multicast DNS/DNS-SD service discovery. Avahi allows programs to publish and discover services and hosts running on a local network with no specific configuration. For example, a user can plug a computer into a network and Avahi automatically finds printers to print to, files to look at and people to talk to, as well as network services running on the machine.","dpkg-query -s avahi-daemon","-","[{""key"":""cis"",""value"":""2.2.2""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' avahi-daemon -> r:no packages found matching avahi-daemon|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s avahi-daemon -> r:package 'avahi-daemon' is not installed""}]"
"all","If the system does not need to print jobs or accept print jobs from other systems, it is recommended that CUPS be removed to reduce the potential attack surface.","Ensure CUPS is not installed.",28553,"Run one of the following commands to remove cups : # apt purge cups","passed","cis_ubuntu22-04","The Common Unix Print System (CUPS) provides the ability to print to both local and network printers. A system running CUPS can also accept print jobs from remote systems and print them to local printers. It also provides a web based remote administration capability.","dpkg-query -s cups,dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' cups","http://www.cups.org","[{""key"":""cis"",""value"":""2.2.3""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' cups -> r:no packages found matching cups|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s cups -> r:package 'cups' is not installed""}]"
"all","Unless a system is specifically set up to act as a DHCP server, it is recommended that this package be removed to reduce the potential attack surface.","Ensure DHCP Server is not installed.",28554,"Run the following command to remove isc-dhcp-server: # apt purge isc-dhcp-server.","passed","cis_ubuntu22-04","The Dynamic Host Configuration Protocol (DHCP) is a service that allows machines to be dynamically assigned IP addresses.","dpkg-query -s isc-dhcp-server,dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' isc-dhcp-server","http://www.isc.org/software/dhcp","[{""key"":""cis"",""value"":""2.2.4""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' isc-dhcp-server -> r:no packages found matching isc-dhcp-server|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s isc-dhcp-server -> r:package 'isc-dhcp-server' is not installed""}]"
"all","If the system will not need to act as an LDAP server, it is recommended that the software be removed to reduce the potential attack surface.","Ensure LDAP server is not installed.",28555,"Run one of the following commands to remove slapd: # apt purge slapd","passed","cis_ubuntu22-04","The Lightweight Directory Access Protocol (LDAP) was introduced as a replacement for NIS/YP. It is a service that provides a method for looking up information from a central database.","dpkg-query -s slapd,dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' slapd","http://www.openldap.org.","[{""key"":""cis"",""value"":""2.2.5""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' slapd -> r:no packages found matching slapd|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s slapd -> r:package 'slapd' is not installed""}]"
"all","If the system does not export NFS shares or act as an NFS client, it is recommended that these services be removed to reduce the remote attack surface.","Ensure NFS is not installed.",28556,"Run the following command to remove nfs: # apt purge nfs-kernel-server.","passed","cis_ubuntu22-04","The Network File System (NFS) is one of the first and most widely distributed file systems in the UNIX environment. It provides the ability for systems to mount file systems of other servers through the network.","dpkg-query -s nfs-kernel-server,dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' nfs-kernel-server","-","[{""key"":""cis"",""value"":""2.2.6""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' nfs-kernel-server -> r:no packages found matching nfs-kernel-server|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s nfs-kernel-server -> r:package 'nfs-kernel-server' is not installed""}]"
"all","Unless a system is specifically designated to act as a DNS server, it is recommended that the package be deleted to reduce the potential attack surface.","Ensure DNS Server is not installed.",28557,"Run the following commands to disable DNS server: # apt purge bind9","passed","cis_ubuntu22-04","The Domain Name System (DNS) is a hierarchical naming system that maps names to IP addresses for computers, services and other resources connected to a network.","dpkg-query -s bind9,dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' bind9","-","[{""key"":""cis"",""value"":""2.2.7""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' bind9 -> r:no packages found matching bind9|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s bind9 -> r:package 'bind9' is not installed""}]"
"all","FTP does not protect the confidentiality of data or authentication credentials. It is recommended SFTP be used if file transfer is required. Unless there is a need to run the system as a FTP server (for example, to allow anonymous downloads), it is recommended that the package be deleted to reduce the potential attack surface.","Ensure FTP Server is not installed.",28558,"Run the following command to remove vsftpd: # apt purge vsftpd Additional Information: Additional FTP servers also exist and should be audited.","passed","cis_ubuntu22-04","The File Transfer Protocol (FTP) provides networked computers with the ability to transfer files.","dpkg-query -s vsftpd,dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' vsftpd","-","[{""key"":""cis"",""value"":""2.2.8""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' vsftpd -> r:no packages found matching vsftpd|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s vsftpd -> r:package 'vsftpd' is not installed""}]"
"all","Unless there is a need to run the system as a web server, it is recommended that the package be deleted to reduce the potential attack surface.","Ensure HTTP server is not installed.",28559,"Run the following command to remove apache: # apt purge apache2 Additional Information: Several httpd servers exist and can use other service names. apache2 and nginx are example services that provide an HTTP server. These and other services should also be audited","passed","cis_ubuntu22-04","HTTP or web servers provide the ability to host web site content.","dpkg-query -s apache2,dpkg-query -W -f='${binary:Package}\t${Status}\t${db:Status-Status}\n' apache2","-","[{""key"":""cis"",""value"":""2.2.9""},{""key"":""cis_csc_v7"",""value"":""9.2""},{""key"":""cis_csc_v8"",""value"":""4.8""},{""key"":""cmmc_v2.0"",""value"":""CM.L2-3.4.7,CM.L2-3.4.8,SC.L2-3.13.6""},{""key"":""mitre_mitigations"",""value"":""M1042""},{""key"":""mitre_tactics"",""value"":""TA0008""},{""key"":""mitre_techniques"",""value"":""T1203,T1210,T1543,T1543.002""},{""key"":""pci_dss_v3.2.1"",""value"":""1.1.6,1.2.1,2.2.2,2.2.5""},{""key"":""pci_dss_v4.0"",""value"":""1.2.5,2.2.4,6.4.1""},{""key"":""soc_2"",""value"":""CC6.3,CC6.6""}]","[{""type"":""command"",""rule"":""c:dpkg-query -W -f='${binary:Package}\\t${Status}\\t${db:Status-Status}\\n' apache2 -> r:no packages found matching apache2|deinstall|not-installed""},{""type"":""command"",""rule"":""c:dpkg-query -s apache2 -> r:package 'apache2' is not installed""}]"
